City Id,City,Country,Latitude,Longitude,Temperature,Max Temperature,Humidity,Wind Speed,Cloudiness
329,farmington,US,36.73,-108.22,53.06,59.0,14,5.82,1
330,oksfjord,NO,70.24,22.35,25.36,26.6,92,9.17,94
331,shar,KZ,49.59,81.05,40.93,40.93,57,3.47,0
332,lovington,US,32.94,-103.35,59.27,62.01,72,10.29,1
333,riberalta,BO,-10.98,-66.1,73.36,73.36,74,2.3,100
334,komsomolskiy,UZ,40.43,71.72,51.8,51.8,50,3.18,100
335,guerrero negro,MX,27.98,-114.06,60.44,60.44,64,15.86,1
336,areosa,PT,41.72,-8.86,54.82,57.99,100,3.36,75
337,iberia,US,29.95,-91.75,62.29,64.4,72,6.93,1
338,hovd,MN,48.01,91.64,46.11,46.11,29,4.88,92
339,viedma,AR,-40.81,-63.0,65.89,65.89,41,19.95,0
340,poronaysk,RU,49.22,143.12,32.07,32.07,90,7.74,42
341,christchurch,NZ,-43.53,172.63,61.21,62.6,72,16.11,0
342,belmonte,BR,-15.86,-38.88,75.2,75.2,94,6.93,75
343,nuevitas,CU,21.55,-77.26,75.69,75.69,68,2.26,33
344,buin,CL,-33.73,-70.75,59.0,59.0,77,6.93,57
345,salalah,OM,17.02,54.09,80.6,80.6,78,3.36,40
346,katsuura,JP,35.13,140.3,58.73,62.01,44,9.17,20
347,linden,GY,6.0,-58.3,77.0,77.0,88,4.7,42
348,choa saidan shah,PK,32.72,72.98,71.62,71.62,39,4.88,36
349,chuy,UY,-33.7,-53.46,61.29,61.29,83,4.23,0
350,bonthe,SL,7.53,-12.51,80.78,80.78,86,4.03,71
351,waipawa,NZ,-41.41,175.52,61.92,64.4,63,24.16,0
352,parkes,AU,-33.13,148.18,70.0,70.0,54,3.0,11
353,loandjili,CG,-4.76,11.86,78.35,78.35,89,5.3,82
354,shirokiy,RU,49.76,129.52,50.07,50.07,45,7.16,26
355,banda aceh,ID,5.56,95.32,85.55,85.55,69,7.94,28
356,nelson bay,AU,-32.72,152.15,77.95,78.8,34,21.92,20
357,lingao,CN,19.91,109.69,79.25,79.25,76,1.57,20
358,kuryk,KZ,43.2,51.65,48.25,48.25,62,1.57,41
359,fujinomiya,JP,35.22,138.62,52.07,55.4,50,10.29,75
